超商,Address,Response_X,Response_Y
711,桃園市桃園區南平路四一六、四一八號一樓,121.295958,25.0172596
711,桃園市桃園區正光路425、427號1樓,121.2941283,25.0010599
711,桃園市桃園區大業路1段426號1樓,121.3118447,25.0149219
711,桃園市桃園區國際路2段426、428號1樓,121.2884052,24.9985831
711,桃園市桃園區寶慶路四二八號一樓,121.2903987,25.0187395
711,桃園市桃園區光興里中山北路４２號１樓及地下１樓,121.3034294,24.9931824
711,桃園市桃園區大同路43號1樓及B1,121.3124545,24.9894687
711,桃園市桃園區中正路455號1樓,121.3067334,25.0013441
711,桃園市桃園區大有路457號、459號1樓,121.3187226,25.0119501
711,桃園市桃園區桃鶯路457、459號,121.3238273,24.9755679
711,桃園市桃園區安樂街四十五、四十七號１樓,121.3156094,24.9925715
711,桃園市桃園區壽昌街20巷45、47號1樓,121.2923753,24.9895165
711,桃園市桃園區寶慶路470號1樓,121.2901623,25.0192315
711,桃園市桃園區桃鶯路四七二號一樓,121.3243263,24.9737604
711,桃園市桃園區安樂街48、50號1樓、安東街56號1樓,121.3158685,24.9924927
711,桃園市桃園區三民路三段490、492號1樓,121.3073138,24.9836937
711,桃園市桃園區民光路49號1樓,121.3070303,25.0046653
711,桃園市桃園區龍泉六街49號、龍城一街89號、91號1樓,121.2721753,24.9835763
711,桃園市桃園區延平路4、6號1樓,121.3137291,24.988245
711,桃園市桃園區永安北路501號一樓、503號一樓,121.2921306,25.0197237
711,桃園市桃園區南平路502號1樓,121.2940425,25.0164638
711,桃園市桃園區成功路3段50、52號1樓,121.3256647,24.9998447
711,桃園市桃園區桃鶯路50、52號1樓,121.3178156,24.9869696
711,桃園市桃園區永安路511、513號,121.2964069,25.0039565
711,桃園市桃園區中山東路51號1樓,121.314668,24.996133
711,桃園市桃園區慈文路51號1樓、正康三街284號1樓,121.3060229,25.0103677
711,桃園市桃園區民生路535號1樓,121.3090485,25.0040253
711,桃園市桃園區大有路547號1樓,121.3169759,25.0150911
711,桃園市桃園區上海路54、56號1樓,121.2833302,24.9896905
